algorithm,config,recall,robustness_0.1,robustness_0.3,robustness_0.5,robustness_0.7,robustness_0.9,qps
DiskANN,euclidean_L_300_R_16_buildthreads_64_Ls_100_T_16,0.884790,0.998900,0.993000,0.967100,0.897100,0.716000,31611.85
DiskANN,euclidean_L_300_R_16_buildthreads_64_Ls_100_T_64,0.884790,0.998900,0.993000,0.967100,0.897100,0.716000,26125.56
DiskANN,euclidean_L_300_R_16_buildthreads_64_Ls_120_T_16,0.900610,0.999000,0.995000,0.974500,0.917000,0.754500,27561.14
DiskANN,euclidean_L_300_R_16_buildthreads_64_Ls_120_T_64,0.900610,0.999000,0.995000,0.974500,0.917000,0.754500,26575.43
DiskANN,euclidean_L_300_R_16_buildthreads_64_Ls_150_T_16,0.918000,0.999200,0.996800,0.983100,0.940000,0.794700,23213.36
DiskANN,euclidean_L_300_R_16_buildthreads_64_Ls_150_T_64,0.918000,0.999200,0.996800,0.983100,0.940000,0.794700,21810.78
DiskANN,euclidean_L_300_R_16_buildthreads_64_Ls_200_T_16,0.936530,0.999500,0.998300,0.990100,0.958700,0.841900,17936.49
DiskANN,euclidean_L_300_R_16_buildthreads_64_Ls_200_T_64,0.936530,0.999500,0.998300,0.990100,0.958700,0.841900,18574.59
DiskANN,euclidean_L_300_R_16_buildthreads_64_Ls_250_T_16,0.949060,0.999600,0.998500,0.993600,0.971700,0.876000,15125.07
DiskANN,euclidean_L_300_R_16_buildthreads_64_Ls_250_T_64,0.949060,0.999600,0.998500,0.993600,0.971700,0.876000,15332.87
DiskANN,euclidean_L_300_R_16_buildthreads_64_Ls_30_T_16,0.723590,0.988400,0.937100,0.837900,0.660900,0.404800,64903.60
DiskANN,euclidean_L_300_R_16_buildthreads_64_Ls_30_T_64,0.723590,0.988400,0.937100,0.837900,0.660900,0.404800,52575.88
DiskANN,euclidean_L_300_R_16_buildthreads_64_Ls_50_T_16,0.804170,0.995900,0.971600,0.909900,0.783400,0.546800,50623.32
DiskANN,euclidean_L_300_R_16_buildthreads_64_Ls_50_T_64,0.804170,0.995900,0.971600,0.909900,0.783400,0.546800,44078.14
DiskANN,euclidean_L_300_R_16_buildthreads_64_Ls_70_T_16,0.847140,0.998100,0.984700,0.942600,0.845400,0.634200,40612.49
DiskANN,euclidean_L_300_R_16_buildthreads_64_Ls_70_T_64,0.847140,0.998100,0.984700,0.942600,0.845400,0.634200,39512.84
DiskANN,euclidean_L_300_R_16_buildthreads_64_Ls_80_T_16,0.862330,0.998400,0.988300,0.952400,0.867000,0.668100,37124.24
DiskANN,euclidean_L_300_R_16_buildthreads_64_Ls_80_T_64,0.862330,0.998400,0.988300,0.952400,0.867000,0.668100,34286.41
DiskANN,euclidean_L_300_R_16_buildthreads_64_Ls_90_T_16,0.874280,0.998600,0.990800,0.960700,0.883200,0.693200,33596.55
DiskANN,euclidean_L_300_R_16_buildthreads_64_Ls_90_T_64,0.874280,0.998600,0.990800,0.960700,0.883200,0.693200,28822.00
IVFFlat,angular_n_list_10000_n_probe_12,0.844870,0.999300,0.992200,0.950700,0.836600,0.614900,8397.81
IVFFlat,angular_n_list_10000_n_probe_16,0.881580,0.999800,0.996300,0.973700,0.890900,0.695600,6410.89
IVFFlat,angular_n_list_10000_n_probe_20,0.904510,0.999900,0.997900,0.983900,0.924400,0.749900,5185.77
