algorithm,config,recall,robustness_0.1,robustness_0.3,robustness_0.5,robustness_0.7,robustness_0.9,qps
DiskANN,ip_L_300_R_16_buildthreads_64_Ls_15_T_16,0.722736,0.801146,0.779083,0.757593,0.724785,0.646705,29280.25
DiskANN,ip_L_300_R_16_buildthreads_64_Ls_15_T_64,0.722736,0.801146,0.779083,0.757593,0.724785,0.646705,15094.43
DiskANN,ip_L_300_R_16_buildthreads_64_Ls_20_T_16,0.786719,0.860029,0.837679,0.817765,0.787966,0.717192,25110.27
DiskANN,ip_L_300_R_16_buildthreads_64_Ls_20_T_64,0.786719,0.860029,0.837679,0.817765,0.787966,0.717192,13394.95
DiskANN,ip_L_300_R_16_buildthreads_64_Ls_25_T_16,0.829656,0.897135,0.876648,0.858596,0.829799,0.766762,22828.51
DiskANN,ip_L_300_R_16_buildthreads_64_Ls_25_T_64,0.829656,0.897135,0.876648,0.858596,0.829799,0.766762,12072.81
DiskANN,ip_L_300_R_16_buildthreads_64_Ls_40_T_16,0.886089,0.942120,0.924928,0.912034,0.887249,0.832951,16134.81
DiskANN,ip_L_300_R_16_buildthreads_64_Ls_40_T_64,0.886089,0.942120,0.924928,0.912034,0.887249,0.832951,9832.67
DiskANN,ip_L_300_R_16_buildthreads_64_Ls_50_T_16,0.903539,0.955587,0.939828,0.927937,0.903868,0.853009,13641.54
DiskANN,ip_L_300_R_16_buildthreads_64_Ls_50_T_64,0.903539,0.955587,0.939828,0.927937,0.903868,0.853009,8536.31
DiskANN,ip_L_300_R_16_buildthreads_64_Ls_60_T_16,0.913997,0.963181,0.948997,0.937966,0.914470,0.866762,12258.18
DiskANN,ip_L_300_R_16_buildthreads_64_Ls_60_T_64,0.913997,0.963181,0.948997,0.937966,0.914470,0.866762,7715.97
DiskANN,ip_L_300_R_16_buildthreads_64_Ls_85_T_16,0.931218,0.974785,0.964183,0.954011,0.932378,0.887393,9608.59
DiskANN,ip_L_300_R_16_buildthreads_64_Ls_85_T_64,0.931218,0.974785,0.964183,0.954011,0.932378,0.887393,6218.60
DiskANN,ip_L_500_R_32_buildthreads_64_Ls_15_T_16,0.877006,0.933524,0.918195,0.906017,0.883095,0.818052,20070.06
DiskANN,ip_L_500_R_32_buildthreads_64_Ls_15_T_64,0.877006,0.933524,0.918195,0.906017,0.883095,0.818052,10502.67
