algorithm,config,recall,robustness_0.1,robustness_0.3,robustness_0.5,robustness_0.7,robustness_0.9,qps
DiskANN,euclidean_L_300_R_32_buildthreads_64_Ls_100_T_16,0.942700,0.992700,0.985912,0.974383,0.949209,0.883954,26372.54
DiskANN,euclidean_L_300_R_32_buildthreads_64_Ls_100_T_64,0.942700,0.992700,0.985912,0.974383,0.949209,0.883954,32035.14
DiskANN,euclidean_L_300_R_32_buildthreads_64_Ls_10_T_16,0.685390,0.886103,0.822964,0.753991,0.652647,0.481102,103897.69
DiskANN,euclidean_L_300_R_32_buildthreads_64_Ls_10_T_64,0.685390,0.886103,0.822964,0.753991,0.652647,0.481102,79088.13
DiskANN,euclidean_L_300_R_32_buildthreads_64_Ls_120_T_16,0.951736,0.994508,0.989255,0.979840,0.959408,0.901965,22962.37
DiskANN,euclidean_L_300_R_32_buildthreads_64_Ls_120_T_64,0.951736,0.994508,0.989255,0.979840,0.959408,0.901965,28672.87
DiskANN,euclidean_L_300_R_32_buildthreads_64_Ls_150_T_16,0.960493,0.996077,0.992086,0.985230,0.969505,0.918747,19028.92
DiskANN,euclidean_L_300_R_32_buildthreads_64_Ls_150_T_64,0.960493,0.996077,0.992086,0.985230,0.969505,0.918747,25326.76
DiskANN,euclidean_L_300_R_32_buildthreads_64_Ls_200_T_16,0.968679,0.996998,0.994065,0.989426,0.977862,0.937406,15189.99
DiskANN,euclidean_L_300_R_32_buildthreads_64_Ls_200_T_64,0.968679,0.996998,0.994065,0.989426,0.977862,0.937406,18759.55
DiskANN,euclidean_L_300_R_32_buildthreads_64_Ls_20_T_16,0.800133,0.947605,0.908787,0.860690,0.785646,0.641049,74416.98
DiskANN,euclidean_L_300_R_32_buildthreads_64_Ls_20_T_64,0.800133,0.947605,0.908787,0.860690,0.785646,0.641049,64460.64
DiskANN,euclidean_L_300_R_32_buildthreads_64_Ls_250_T_16,0.974502,0.997885,0.995566,0.992427,0.983695,0.948526,12424.09
DiskANN,euclidean_L_300_R_32_buildthreads_64_Ls_250_T_64,0.974502,0.997885,0.995566,0.992427,0.983695,0.948526,16196.71
DiskANN,euclidean_L_300_R_32_buildthreads_64_Ls_30_T_16,0.850501,0.967253,0.940886,0.903841,0.844249,0.719436,60294.92
DiskANN,euclidean_L_300_R_32_buildthreads_64_Ls_30_T_64,0.850501,0.967253,0.940886,0.903841,0.844249,0.719436,54648.35
DiskANN,euclidean_L_300_R_32_buildthreads_64_Ls_50_T_16,0.898840,0.981580,0.967117,0.943069,0.900634,0.803247,43960.93
DiskANN,euclidean_L_300_R_32_buildthreads_64_Ls_50_T_64,0.898840,0.981580,0.967117,0.943069,0.900634,0.803247,46576.19
DiskANN,euclidean_L_300_R_32_buildthreads_64_Ls_70_T_16,0.923032,0.988266,0.978101,0.961386,0.927889,0.847694,34491.50
DiskANN,euclidean_L_300_R_32_buildthreads_64_Ls_70_T_64,0.923032,0.988266,0.978101,0.961386,0.927889,0.847694,37596.60
DiskANN,euclidean_L_300_R_32_buildthreads_64_Ls_80_T_16,0.931290,0.990278,0.981546,0.967219,0.937065,0.862737,31452.03
DiskANN,euclidean_L_300_R_32_buildthreads_64_Ls_80_T_64,0.931290,0.990278,0.981546,0.967219,0.937065,0.862737,33438.26
DiskANN,euclidean_L_300_R_32_buildthreads_64_Ls_90_T_16,0.937614,0.991506,0.983968,0.971176,0.944126,0.874096,28336.51
DiskANN,euclidean_L_300_R_32_buildthreads_64_Ls_90_T_64,0.937614,0.991506,0.983968,0.971176,0.944126,0.874096,34960.40
IVFFlat,euclidean_n_list_10000_n_probe_10,0.756075,0.990790,0.940647,0.849024,0.707157,0.487072,10397.43
IVFFlat,euclidean_n_list_10000_n_probe_100,0.919859,0.999829,0.996384,0.981000,0.938361,0.804475,1214.09
IVFFlat,euclidean_n_list_10000_n_probe_120,0.927998,0.999829,0.997271,0.984275,0.947298,0.824567,1020.10
IVFFlat,euclidean_n_list_10000_n_probe_140,0.934507,0.999898,0.998022,0.987038,0.955451,0.839985,876.58
IVFFlat,euclidean_n_list_10000_n_probe_15,0.793993,0.994986,0.961557,0.887263,0.761837,0.548745,7347.46
IVFFlat,euclidean_n_list_10000_n_probe_160,0.939958,0.999966,0.998294,0.989494,0.961386,0.853527,770.68
IVFFlat,euclidean_n_list_10000_n_probe_180,0.944617,0.999966,0.998465,0.990722,0.965957,0.865534,690.56
IVFFlat,euclidean_n_list_10000_n_probe_20,0.817895,0.996998,0.972711,0.909708,0.797107,0.589746,5667.54
IVFFlat,euclidean_n_list_10000_n_probe_200,0.948421,0.999966,0.998738,0.991745,0.969300,0.875426,622.37
IVFFlat,euclidean_n_list_10000_n_probe_40,0.868062,0.998840,0.987754,0.952381,0.869525,0.686622,2963.26
IVFFlat,euclidean_n_list_10000_n_probe_60,0.893208,0.999557,0.993007,0.968481,0.904216,0.741404,2002.20
IVFFlat,euclidean_n_list_10000_n_probe_80,0.908934,0.999693,0.995293,0.976361,0.925024,0.778517,1516.47
HNSW,euclidean_M_32_efConstruction_300_ef_100,0.896667,0.989903,0.974212,0.952108,0.905956,0.784827,12058.58
HNSW,euclidean_M_32_efConstruction_300_ef_120,0.907972,0.992427,0.979704,0.961420,0.920078,0.804066,10203.38
HNSW,euclidean_M_32_efConstruction_300_ef_140,0.915940,0.994269,0.983217,0.967151,0.930209,0.820098,8852.99
HNSW,euclidean_M_32_efConstruction_300_ef_160,0.922568,0.994917,0.986083,0.971995,0.938668,0.833026,7854.52
HNSW,euclidean_M_32_efConstruction_300_ef_180,0.927671,0.995600,0.987686,0.975031,0.945047,0.843055,6996.60
HNSW,euclidean_M_32_efConstruction_300_ef_200,0.931488,0.995907,0.989050,0.977521,0.949379,0.850866,6488.87
HNSW,euclidean_M_32_efConstruction_300_ef_220,0.935336,0.996794,0.990483,0.980284,0.953575,0.858541,5860.75
HNSW,euclidean_M_32_efConstruction_300_ef_240,0.938204,0.996930,0.991609,0.981819,0.956713,0.865227,5447.01
HNSW,euclidean_M_32_efConstruction_300_ef_260,0.940814,0.997203,0.992461,0.983286,0.959476,0.870685,5212.63
HNSW,euclidean_M_32_efConstruction_300_ef_280,0.943270,0.997408,0.993212,0.984582,0.962751,0.875188,4829.10
HNSW,euclidean_M_32_efConstruction_300_ef_30,0.782835,0.949720,0.900634,0.845784,0.764020,0.611373,30327.95
HNSW,euclidean_M_32_efConstruction_300_ef_300,0.945265,0.997612,0.993758,0.985537,0.965275,0.879690,4620.92
HNSW,euclidean_M_32_efConstruction_300_ef_40,0.818840,0.964729,0.927412,0.881703,0.808500,0.661584,24839.68
HNSW,euclidean_M_32_efConstruction_300_ef_60,0.859138,0.979943,0.954121,0.918816,0.858303,0.722472,17554.17
HNSW,euclidean_M_32_efConstruction_300_ef_80,0.882119,0.986390,0.967083,0.939385,0.887263,0.760677,14446.80
Puck,euclidean_C_1000_F_1000_N_4_index_type_2_tinker_construction_200_tinker_neighborhood_16_search_coarse_count_10_tinker_search_range_10,0.714542,0.948117,0.879656,0.794037,0.675365,0.468822,52716.40
Puck,euclidean_C_1000_F_1000_N_4_index_type_2_tinker_construction_200_tinker_neighborhood_16_search_coarse_count_10_tinker_search_range_100,0.933664,0.995156,0.985230,0.971108,0.940681,0.863078,15578.62
Puck,euclidean_C_1000_F_1000_N_4_index_type_2_tinker_construction_200_tinker_neighborhood_16_search_coarse_count_10_tinker_search_range_20,0.805400,0.972404,0.930959,0.875495,0.788409,0.623243,43904.56
Puck,euclidean_C_1000_F_1000_N_4_index_type_2_tinker_construction_200_tinker_neighborhood_16_search_coarse_count_10_tinker_search_range_30,0.848810,0.981307,0.952859,0.910663,0.840224,0.699618,33699.12
Puck,euclidean_C_1000_F_1000_N_4_index_type_2_tinker_construction_200_tinker_neighborhood_16_search_coarse_count_10_tinker_search_range_50,0.892025,0.988914,0.971006,0.943273,0.891220,0.780529,26449.77
Puck,euclidean_C_1000_F_1000_N_4_index_type_2_tinker_construction_200_tinker_neighborhood_16_search_coarse_count_10_tinker_search_range_60,0.905181,0.991472,0.976156,0.952961,0.908241,0.805226,26277.91
Puck,euclidean_C_1000_F_1000_N_4_index_type_2_tinker_construction_200_tinker_neighborhood_16_search_coarse_count_10_tinker_search_range_70,0.914722,0.992939,0.979772,0.959033,0.918713,0.824157,22343.72
Puck,euclidean_C_1000_F_1000_N_4_index_type_2_tinker_construction_200_tinker_neighborhood_16_search_coarse_count_10_tinker_search_range_80,0.922206,0.994031,0.981989,0.963706,0.927412,0.839337,19304.92
Puck,euclidean_C_1000_F_1000_N_4_index_type_2_tinker_construction_200_tinker_neighborhood_16_search_coarse_count_10_tinker_search_range_90,0.928517,0.994576,0.983831,0.967697,0.934814,0.852504,18045.87
ScaNN,euclidean_dim_100_download_false_metric_l2_tree_size_40000_leaves_to_search_100_reorder_10,0.523400,0.998806,0.974417,0.749557,0.117444,0.002388,22194.95
ScaNN,euclidean_dim_100_download_false_metric_l2_tree_size_40000_leaves_to_search_100_reorder_150,0.939961,0.999761,0.997271,0.990040,0.961830,0.855506,18973.86
ScaNN,euclidean_dim_100_download_false_metric_l2_tree_size_40000_leaves_to_search_100_reorder_30,0.837396,0.999727,0.996009,0.974758,0.872152,0.556351,19366.37
ScaNN,euclidean_dim_100_download_false_metric_l2_tree_size_40000_leaves_to_search_10_reorder_10,0.531085,0.993996,0.945866,0.732194,0.214354,0.011086,43829.04
