algorithm,config,recall,robustness_0.1,robustness_0.3,robustness_0.5,robustness_0.7,robustness_0.9,qps
DiskANN,ip_L_500_R_64_buildthreads_64_Ls_100_T_16,0.865185,0.984230,0.973660,0.954000,0.886480,0.609130,7763.71
DiskANN,ip_L_500_R_64_buildthreads_64_Ls_120_T_16,0.884519,0.986720,0.977860,0.963170,0.910600,0.668240,6802.20
DiskANN,ip_L_500_R_64_buildthreads_64_Ls_150_T_16,0.905212,0.989420,0.982140,0.971390,0.933940,0.734100,5801.74
DiskANN,ip_L_500_R_64_buildthreads_64_Ls_200_T_16,0.927507,0.991960,0.986460,0.979190,0.955880,0.805350,4754.08
DiskANN,ip_L_500_R_64_buildthreads_64_Ls_20_T_16,0.865185,0.984230,0.973660,0.954000,0.886480,0.609130,7929.51
DiskANN,ip_L_500_R_64_buildthreads_64_Ls_30_T_16,0.865185,0.984230,0.973660,0.954000,0.886480,0.609130,7955.16
DiskANN,ip_L_500_R_64_buildthreads_64_Ls_50_T_16,0.865185,0.984230,0.973660,0.954000,0.886480,0.609130,7959.16
DiskANN,ip_L_500_R_64_buildthreads_64_Ls_70_T_16,0.865185,0.984230,0.973660,0.954000,0.886480,0.609130,7936.48
DiskANN,ip_L_500_R_64_buildthreads_64_Ls_85_T_16,0.865185,0.984230,0.973660,0.954000,0.886480,0.609130,7820.77
IVFFlat,angular_n_list_10000_n_probe_1,0.270929,0.688190,0.354220,0.187190,0.090670,0.029260,19825.38
IVFFlat,angular_n_list_10000_n_probe_1024,0.997764,1.000000,1.000000,1.000000,0.999940,0.999330,65.70
IVFFlat,angular_n_list_10000_n_probe_128,0.956698,0.999910,0.999660,0.998010,0.985050,0.868860,528.00
IVFFlat,angular_n_list_10000_n_probe_16,0.770928,0.997400,0.968680,0.874040,0.687980,0.377200,3678.01
IVFFlat,angular_n_list_10000_n_probe_2,0.397901,0.864640,0.560390,0.338110,0.181210,0.065470,15349.87
IVFFlat,angular_n_list_10000_n_probe_256,0.980315,0.999980,0.999960,0.999720,0.997950,0.956830,265.87
IVFFlat,angular_n_list_10000_n_probe_32,0.856017,0.999320,0.992540,0.957260,0.843210,0.550290,1962.00
IVFFlat,angular_n_list_10000_n_probe_4,0.533344,0.955190,0.761370,0.531990,0.320200,0.130170,10631.63
IVFFlat,angular_n_list_10000_n_probe_512,0.992520,1.000000,0.999990,0.999970,0.999750,0.992310,132.85
IVFFlat,angular_n_list_10000_n_probe_64,0.916726,0.999790,0.998330,0.989410,0.940850,0.725240,1032.34
IVFFlat,angular_n_list_10000_n_probe_8,0.661465,0.988030,0.899860,0.726600,0.499460,0.234050,6567.74
HNSW,angular_M_128_efConstruction_500_ef_1024,0.976971,0.996750,0.994760,0.992400,0.988290,0.960720,684.39
HNSW,angular_M_128_efConstruction_500_ef_128,0.857642,0.978570,0.963950,0.938720,0.869310,0.614660,3798.75
HNSW,angular_M_128_efConstruction_500_ef_2048,0.989354,0.998610,0.997820,0.996960,0.995240,0.986650,343.78
HNSW,angular_M_128_efConstruction_500_ef_256,0.917078,0.988060,0.980440,0.969290,0.940790,0.784660,2228.02
HNSW,angular_M_128_efConstruction_500_ef_32,0.687265,0.949490,0.900370,0.800640,0.595320,0.230850,7681.88
HNSW,angular_M_128_efConstruction_500_ef_4096,0.995325,0.999470,0.999120,0.998790,0.998050,0.995650,153.54
HNSW,angular_M_128_efConstruction_500_ef_512,0.954395,0.993450,0.989220,0.984340,0.973240,0.898440,1246.75
HNSW,angular_M_128_efConstruction_500_ef_64,0.786670,0.967880,0.943030,0.893590,0.765840,0.425000,5731.44
HNSW,angular_M_32_efConstruction_500_ef_1024,0.965894,0.995400,0.992710,0.989380,0.983080,0.933220,957.49
HNSW,angular_M_32_efConstruction_500_ef_128,0.801719,0.964490,0.943040,0.901940,0.795690,0.473130,5707.40
HNSW,angular_M_32_efConstruction_500_ef_2048,0.983517,0.998170,0.997010,0.995710,0.993310,0.977180,467.70
HNSW,angular_M_32_efConstruction_500_ef_256,0.882436,0.980380,0.969780,0.952850,0.904890,0.688470,3235.27
HNSW,angular_M_32_efConstruction_500_ef_32,0.597582,0.918770,0.847670,0.707230,0.443800,0.092800,11804.87
HNSW,angular_M_32_efConstruction_500_ef_4096,0.992421,0.999420,0.998980,0.998490,0.997680,0.993560,200.47
HNSW,angular_M_32_efConstruction_500_ef_512,0.934292,0.989880,0.984330,0.977210,0.958990,0.840980,1828.85
HNSW,angular_M_32_efConstruction_500_ef_64,0.715367,0.947730,0.911210,0.835790,0.657870,0.272210,8361.77
HNSW,angular_M_64_efConstruction_500_ef_1024,0.974253,0.996460,0.994060,0.991430,0.986890,0.954140,741.20
HNSW,angular_M_64_efConstruction_500_ef_128,0.842638,0.974740,0.958390,0.928920,0.849940,0.576190,4182.13
HNSW,angular_M_64_efConstruction_500_ef_2048,0.987699,0.998450,0.997360,0.996040,0.994220,0.983760,373.65
HNSW,angular_M_64_efConstruction_500_ef_256,0.908219,0.986020,0.977660,0.965450,0.931680,0.761170,2476.72
HNSW,angular_M_64_efConstruction_500_ef_32,0.661784,0.939630,0.886430,0.776320,0.553920,0.186140,9498.14
HNSW,angular_M_64_efConstruction_500_ef_4096,0.994622,0.999450,0.999030,0.998530,0.997730,0.995040,165.87
HNSW,angular_M_64_efConstruction_500_ef_512,0.950001,0.993070,0.988480,0.983090,0.970390,0.885250,1409.66
HNSW,angular_M_64_efConstruction_500_ef_64,0.767313,0.961990,0.935150,0.878840,0.738480,0.381710,6496.26
Puck,ip_C_1000_F_1000_N_4_index_type_2_tinker_construction_200_tinker_neighborhood_16_search_coarse_count_10_tinker_search_range_100,0.768740,0.985290,0.961950,0.900180,0.729190,0.320600,18362.48
Puck,ip_C_1000_F_1000_N_4_index_type_2_tinker_construction_200_tinker_neighborhood_16_search_coarse_count_10_tinker_search_range_110,0.783700,0.986250,0.965420,0.911580,0.755250,0.356600,17003.00
Puck,ip_C_1000_F_1000_N_4_index_type_2_tinker_construction_200_tinker_neighborhood_16_search_coarse_count_10_tinker_search_range_120,0.796780,0.987020,0.968550,0.920720,0.777030,0.389550,16602.98
Puck,ip_C_1000_F_1000_N_4_index_type_2_tinker_construction_200_tinker_neighborhood_16_search_coarse_count_10_tinker_search_range_160,0.836332,0.989570,0.976490,0.944220,0.841430,0.500600,13016.39
Puck,ip_C_1000_F_1000_N_4_index_type_2_tinker_construction_200_tinker_neighborhood_16_search_coarse_count_10_tinker_search_range_165,0.840163,0.989790,0.977120,0.946280,0.847280,0.512650,12703.05
Puck,ip_C_1000_F_1000_N_4_index_type_2_tinker_construction_200_tinker_neighborhood_16_search_coarse_count_10_tinker_search_range_170,0.843927,0.990100,0.977710,0.948240,0.852860,0.523460,13209.52
Puck,ip_C_1000_F_1000_N_4_index_type_2_tinker_construction_200_tinker_neighborhood_16_search_coarse_count_10_tinker_search_range_175,0.847473,0.990390,0.978310,0.950180,0.857640,0.534170,12656.91
Puck,ip_C_1000_F_1000_N_4_index_type_2_tinker_construction_200_tinker_neighborhood_16_search_coarse_count_10_tinker_search_range_190,0.857170,0.991020,0.980000,0.955090,0.871130,0.563590,12169.46
Puck,ip_C_1000_F_1000_N_4_index_type_2_tinker_construction_200_tinker_neighborhood_16_search_coarse_count_10_tinker_search_range_200,0.863128,0.991490,0.981080,0.957730,0.879180,0.582350,11531.48
Puck,ip_C_1000_F_1000_N_4_index_type_2_tinker_construction_200_tinker_neighborhood_16_search_coarse_count_10_tinker_search_range_30,0.768740,0.985290,0.961950,0.900180,0.729190,0.320600,18746.96
Puck,ip_C_1000_F_1000_N_4_index_type_2_tinker_construction_200_tinker_neighborhood_16_search_coarse_count_10_tinker_search_range_300,0.902810,0.993840,0.987050,0.974220,0.928800,0.712390,8584.07
Puck,ip_C_1000_F_1000_N_4_index_type_2_tinker_construction_200_tinker_neighborhood_16_search_coarse_count_10_tinker_search_range_350,0.915325,0.994690,0.988900,0.978480,0.941780,0.754120,7793.24
Puck,ip_C_1000_F_1000_N_4_index_type_2_tinker_construction_200_tinker_neighborhood_16_search_coarse_count_10_tinker_search_range_50,0.768740,0.985290,0.961950,0.900180,0.729190,0.320600,18635.81
ScaNN,ip_dim_200_download_false_metric_ip_tree_size_40000_leaves_to_search_100_reorder_150,0.731566,0.999960,0.996330,0.950500,0.689930,0.031770,15346.23
ScaNN,ip_dim_200_download_false_metric_ip_tree_size_40000_leaves_to_search_100_reorder_30,0.600829,0.999900,0.989370,0.861680,0.137100,0.000000,15060.07
ScaNN,ip_dim_200_download_false_metric_ip_tree_size_40000_leaves_to_search_100_reorder_500,0.917179,0.999990,0.999830,0.994990,0.953510,0.722620,14091.85
