dataset,algorithm,config,recall@10,qps,robustness@0.1,robustness@0.3,robustness@0.5,robustness@0.7,robustness@0.9,map@10,ndcg@10,mrr@10,tail95,tail99,tail999
text2image-10M,faiss-ivfpqfs,"FaissIVFPQfs(n_list=10000, n_probe=128, k_reorder=0)",0.312594,1895.0507671882722,0.93676,0.60847,0.22388,0.03834,0.00185,21.29898496031746,3.6073365580753354,6.837427341269842,0.0,0.0,0.0
text2image-10M,faiss-ivfpqfs,"FaissIVFPQfs(n_list=10000, n_probe=16, k_reorder=0)",0.29503,13374.3057838564,0.92405,0.56958,0.19417,0.0305,0.00131,19.425530238095238,3.3757511871290347,6.4716894444444435,0.0,0.0,0.0
text2image-10M,faiss-ivfpqfs,"FaissIVFPQfs(n_list=10000, n_probe=2, k_reorder=0)",0.214819,51537.72560865771,0.80116,0.38227,0.10501,0.01349,0.00047,12.683169246031747,2.393153919370601,4.790880595238095,0.0,0.0,0.0
text2image-10M,faiss-ivfpqfs,"FaissIVFPQfs(n_list=10000, n_probe=256, k_reorder=0)",0.313763,985.1019600107091,0.93738,0.61031,0.22603,0.03926,0.00193,21.452351190476193,3.6250895521402398,6.869014960317462,0.0,0.0,0.0
text2image-10M,faiss-ivfpqfs,"FaissIVFPQfs(n_list=10000, n_probe=32, k_reorder=0)",0.304609,7671.050144968499,0.93151,0.5917,0.21015,0.03479,0.00151,20.420214246031748,3.500661745622253,6.669001428571429,0.0,0.0,0.0
text2image-10M,faiss-ivfpqfs,"FaissIVFPQfs(n_list=10000, n_probe=4, k_reorder=0)",0.252471,40818.8798842128,0.87027,0.47012,0.14016,0.01897,0.0008,15.599598333333333,2.8429477454966494,5.578467896825398,0.0,0.0,0.0
text2image-10M,faiss-ivfpqfs,"FaissIVFPQfs(n_list=10000, n_probe=512, k_reorder=0)",0.31426699999999996,467.087415925097,0.93758,0.61098,0.22707,0.03953,0.00194,21.514885039682543,3.6319565384270227,6.878865674603175,0.0,0.0,0.0
text2image-10M,faiss-ivfpqfs,"FaissIVFPQfs(n_list=10000, n_probe=64, k_reorder=0)",0.30978,3785.0349122956186,0.93459,0.6032,0.2184,0.03737,0.00165,20.983000317460316,3.5692856890406803,6.775103968253969,0.0,0.0,0.0
text2image-10M,faiss-ivfpqfs,"FaissIVFPQfs(n_list=10000, n_probe=8, k_reorder=0)",0.278503,21354.011995156645,0.90633,0.53278,0.17122,0.0248,0.0011,17.85505484126984,3.1650560576334263,6.123775912698412,0.0,0.0,0.0
text2image-10M,faiss-ivfpqfs,"FaissIVFPQfs(n_list=10000, n_probe=128, k_reorder=1000)",0.965902,726.511547508358,0.99987,0.99923,0.99635,0.9841,0.92208,94.7345633730159,9.669792909566544,9.843702142857142,0.8,0.6,0.3
text2image-10M,faiss-ivfpqfs,"FaissIVFPQfs(n_list=10000, n_probe=16, k_reorder=1000)",0.813049,1637.7068789472405,0.99531,0.96985,0.907,0.78927,0.57859,73.88111765873019,8.16879645828905,8.980851071428573,0.3,0.1,0.0
text2image-10M,faiss-ivfpqfs,"FaissIVFPQfs(n_list=10000, n_probe=2, k_reorder=1000)",0.452423,5856.717020216706,0.8836,0.6613,0.46684,0.30531,0.1666,34.55146329365079,4.57527580004906,6.109787341269842,0.0,0.0,0.0
text2image-10M,faiss-ivfpqfs,"FaissIVFPQfs(n_list=10000, n_probe=256, k_reorder=1000)",0.983223,582.3489761850194,0.99996,0.99972,0.99868,0.99443,0.96717,97.38857821428572,9.839465759843856,9.929031706349205,0.9,0.7,0.4
text2image-10M,faiss-ivfpqfs,"FaissIVFPQfs(n_list=10000, n_probe=32, k_reorder=1000)",0.885915,1426.8391775489513,0.99862,0.99068,0.96321,0.89462,0.72506,83.37534273809524,8.885764468041145,9.416856388888888,0.5,0.3,0.0
text2image-10M,faiss-ivfpqfs,"FaissIVFPQfs(n_list=10000, n_probe=4, k_reorder=1000)",0.590393,3571.54714603358,0.95351,0.81836,0.65081,0.46865,0.27808,48.25563277777779,5.95603163191907,7.356087063492063,0.1,0.0,0.0
text2image-10M,faiss-ivfpqfs,"FaissIVFPQfs(n_list=10000, n_probe=512, k_reorder=1000)",0.9917770000000001,269.13312381133545,0.99999,0.99991,0.99941,0.99746,0.98591,98.73516583333334,9.922937305416818,9.96889996031746,0.9,0.8,0.5
text2image-10M,faiss-ivfpqfs,"FaissIVFPQfs(n_list=10000, n_probe=64, k_reorder=1000)",0.935176,1013.6307577971768,0.99947,0.99723,0.98815,0.95502,0.84294,90.22326194444446,9.368534484448244,9.684051071428573,0.7,0.4,0.1
text2image-10M,faiss-ivfpqfs,"FaissIVFPQfs(n_list=10000, n_probe=8, k_reorder=1000)",0.713723,2182.1788305682385,0.98382,0.91794,0.80435,0.64114,0.4221,61.87633170634922,7.184321567897397,8.30985626984127,0.2,0.0,0.0
text2image-10M,faiss-ivfpqfs,"FaissIVFPQfs(n_list=10000, n_probe=128, k_reorder=100)",0.938326,1810.7063415677906,0.99954,0.99657,0.98707,0.95993,0.85489,91.03760972222221,9.425147029094468,9.764015793650794,0.7,0.4,0.1
text2image-10M,faiss-ivfpqfs,"FaissIVFPQfs(n_list=10000, n_probe=16, k_reorder=100)",0.8027179999999999,8838.78835021706,0.99479,0.9671,0.89986,0.77695,0.55757,72.62287920634921,8.07766158088687,8.947809166666666,0.3,0.1,0.0
text2image-10M,faiss-ivfpqfs,"FaissIVFPQfs(n_list=10000, n_probe=2, k_reorder=100)",0.45210999999999996,20399.64452523731,0.88356,0.66109,0.46655,0.30491,0.16616,34.5173905952381,4.5725946051138715,6.108783571428573,0.0,0.0,0.0
text2image-10M,faiss-ivfpqfs,"FaissIVFPQfs(n_list=10000, n_probe=256, k_reorder=100)",0.9524609999999999,949.5652686154082,0.9997,0.99722,0.99021,0.971,0.89213,93.19507230158729,9.56655885653724,9.84178595238095,0.7,0.5,0.1
text2image-10M,faiss-ivfpqfs,"FaissIVFPQfs(n_list=10000, n_probe=32, k_reorder=100)",0.8691760000000001,6205.3493010026805,0.99826,0.98793,0.95417,0.8757,0.68792,81.2524975,8.737843666050102,9.365522619047619,0.5,0.2,0.0
text2image-10M,faiss-ivfpqfs,"FaissIVFPQfs(n_list=10000, n_probe=4, k_reorder=100)",0.588868,16742.298931041376,0.9533,0.81759,0.64952,0.46671,0.27538,48.08595075396826,5.942900407640415,7.351262261904759,0.1,0.0,0.0
text2image-10M,faiss-ivfpqfs,"FaissIVFPQfs(n_list=10000, n_probe=512, k_reorder=100)",0.959236,471.64914604153824,0.99975,0.99752,0.99132,0.97457,0.90887,94.25092591269842,9.634034806474228,9.87733253968254,0.8,0.5,0.2
text2image-10M,faiss-ivfpqfs,"FaissIVFPQfs(n_list=10000, n_probe=64, k_reorder=100)",0.9124359999999999,3373.551452614818,0.99915,0.99462,0.97852,0.93221,0.78842,87.24166749999998,9.167008091636395,9.617694206349206,0.6,0.3,0.1
text2image-10M,faiss-ivfpqfs,"FaissIVFPQfs(n_list=10000, n_probe=8, k_reorder=100)",0.7089610000000001,13356.70661881614,0.98344,0.9161,0.80057,0.63515,0.41343,61.323220000000006,7.142532768186004,8.293672579365078,0.2,0.0,0.0
text2image-10M,faiss-ivfpqfs,"FaissIVFPQfs(n_list=10000, n_probe=128, k_reorder=10)",0.745613,1815.4693806921866,0.99576,0.96599,0.88106,0.70458,0.40282,66.60339083333334,7.703194154316657,9.15678896825397,0.3,0.1,0.0
text2image-10M,faiss-ivfpqfs,"FaissIVFPQfs(n_list=10000, n_probe=16, k_reorder=10)",0.667859,12056.672371372406,0.98965,0.92985,0.79678,0.5755,0.28055,56.53268769841271,6.87885686090873,8.50649376984127,0.2,0.0,0.0
text2image-10M,faiss-ivfpqfs,"FaissIVFPQfs(n_list=10000, n_probe=2, k_reorder=10)",0.413455,36894.58431332051,0.87821,0.63947,0.42703,0.24937,0.10344,30.345329880952377,4.2328149044575065,5.9689516269841265,0.0,0.0,0.0
text2image-10M,faiss-ivfpqfs,"FaissIVFPQfs(n_list=10000, n_probe=256, k_reorder=10)",0.752627,966.875017510949,0.99595,0.96739,0.88578,0.71598,0.41767,67.63020230158729,7.7797540263933875,9.215740595238096,0.3,0.1,0.0
text2image-10M,faiss-ivfpqfs,"FaissIVFPQfs(n_list=10000, n_probe=32, k_reorder=10)",0.707835,7021.273183630015,0.99378,0.95277,0.84513,0.64192,0.33529,61.49744968253968,7.300449740497677,8.84717099206349,0.3,0.1,0.0
text2image-10M,faiss-ivfpqfs,"FaissIVFPQfs(n_list=10000, n_probe=4, k_reorder=10)",0.520386,34695.36837168173,0.9464,0.78686,0.5839,0.36602,0.15653,40.443401111111115,5.338055750313061,7.111670357142856,0.0,0.0,0.0
text2image-10M,faiss-ivfpqfs,"FaissIVFPQfs(n_list=10000, n_probe=512, k_reorder=10)",0.755776,510.23633621410494,0.99606,0.96801,0.88796,0.7205,0.42467,68.08849892857144,7.813394108629345,9.239040396825397,0.3,0.1,0.0
text2image-10M,faiss-ivfpqfs,"FaissIVFPQfs(n_list=10000, n_probe=64, k_reorder=10)",0.731928,3926.251764075882,0.99514,0.96196,0.86983,0.68132,0.37606,64.69097325396825,7.556318790145258,9.044570753968255,0.3,0.1,0.0
text2image-10M,faiss-ivfpqfs,"FaissIVFPQfs(n_list=10000, n_probe=8, k_reorder=10)",0.606387,21607.498917513916,0.97736,0.88013,0.71217,0.48031,0.21947,49.46715230158731,6.233697147613147,7.948862777777777,0.1,0.0,0.0
text2image-10M,puck,"Puck('C1000_F1000_N4_Neighborhood16_Construction200', {'search_coarse_count': 10, 'tinker_search_range': 100})",0.8603270000000001,27937.93671510179,0.98295,0.9646,0.93439,0.86806,0.70272,81.0637076984127,8.655949687410901,9.239648888888889,0.4,0.0,0.0
text2image-10M,puck,"Puck('C1000_F1000_N4_Neighborhood16_Construction200', {'search_coarse_count': 10, 'tinker_search_range': 110})",0.869561,31783.50349612143,0.984,0.96724,0.93987,0.87946,0.72261,82.25809206349207,8.74422818011343,9.290069722222222,0.4,0.0,0.0
