scenario,algorithm,k,delta,recall,robustness,accuracy
naive,HNSW,10,0.2,0.861,0.926,0.701
naive,HNSW,10,0.2,0.881,0.941,0.713
naive,HNSW,10,0.2,0.900,0.957,0.726
naive,HNSW,10,0.2,0.930,0.982,0.749
naive,IVFFlat,10,0.2,0.851,0.973,0.740
naive,IVFFlat,10,0.2,0.882,0.980,0.749
naive,IVFFlat,10,0.2,0.901,0.987,0.751
naive,IVFFlat,10,0.2,0.928,0.994,0.757
naive,DiskANN,10,0.2,0.885,0.933,0.711
naive,DiskANN,10,0.2,0.873,0.922,0.696
naive,DiskANN,10,0.2,0.901,0.943,0.714
naive,DiskANN,10,0.2,0.919,0.956,0.726
naive,DiskANN,10,0.2,0.931,0.964,0.733
naive,DiskANN,10,0.2,0.946,0.974,0.744
naive,DiskANN,10,0.2,0.960,0.983,0.749
naive,ScaNN,10,0.2,0.876,0.973,0.740
naive,ScaNN,10,0.2,0.898,0.983,0.749
naive,ScaNN,10,0.2,0.933,0.993,0.755
naive,ScaNN,10,0.2,0.944,0.995,0.757
naive,ScaNN,10,0.2,0.950,0.997,0.758
naive,ScaNN,10,0.2,0.954,0.997,0.761
naive,K-NN,10,0.2,1.0,1.0,0.767
agentic_searchr1,HNSW,5,0.4,0.801,0.871,0.483
agentic_searchr1,HNSW,5,0.4,0.847,0.923,0.495
agentic_searchr1,HNSW,5,0.4,0.901,0.954,0.505
agentic_searchr1,IVFFlat,5,0.4,0.802,0.922,0.497
agentic_searchr1,IVFFlat,5,0.4,0.853,0.959,0.506
agentic_searchr1,IVFFlat,5,0.4,0.898,0.976,0.510
agentic_searchr1,K-NN,5,0.4,1.0,1.0,0.526
agentic_qwen3,HNSW,5,0.4,0.83,0.906,0.506
agentic_qwen3,HNSW,5,0.4,0.86,0.928,0.514
agentic_qwen3,HNSW,5,0.4,0.91,0.964,0.530
agentic_qwen3,IVFFlat,5,0.4,0.81,0.926,0.506
agentic_qwen3,IVFFlat,5,0.4,0.85,0.952,0.520
agentic_qwen3,IVFFlat,5,0.4,0.91,0.977,0.542
agentic_qwen3,K-NN,5,0.4,1.0,1.0,0.555
